"Research that uses data from D-PLACE should cite both the original source(s) of  the data and the paper by Kirby et al. in which D-PLACE was first presented  (e.g., research using cultural data from the Binford Hunter-Gatherer dataset: ""Binford (2001);  Binford and Johnson (2006); Kirby et al. Submitted)."" The reference list should include the date data were  accessed and URL for D-PLACE (https://d-place.org), in addition to the full references for Binford (2001),  Binford and Johnson (2006), and Kirby et al. Submitted."
Source,Preferred society name,Society id,Cross-dataset id,Original society name,Revised latitude,Revised longitude,Original latitude,Original longitude,Glottolog language/dialect id,Glottolog language/dialect name,ISO code,Language family,Continent,Region name,Focal Year: EA082 House construction: shape of roof,Code: EA082 House construction: shape of roof,Description: EA082 House construction: shape of roof,Comment: EA082 House construction: shape of roof,Subcase: EA082 House construction: shape of roof,References: EA082 House construction: shape of roof,Variable: Monthly Mean Precipitation (mm),Comment: Monthly Mean Precipitation (mm)
Ethnographic Atlas,Mekeo,Ie22,xd799,Mekeo (Ie22),-9.0,147.0,-9.0,147.0,meke1243,Mekeo,mek,Austronesian,ASIA-TROPICAL,Papuasia,1900,8,"Gabled, i.e., with two slopes",,,Seligmann(1910); Belshaw(1951); Williamson(1913); ,139.3988333,
Ethnographic Atlas,Hutsuls,Ch2,xd557,Hutsul (Ch2),49.0,24.0,49.0,24.0,sout2604,Southwest Ukrainian,,Indo-European,EUROPE,Eastern Europe,1890,9,"Hipped or pyramidal, i.e., with four slopes",,,Koenig(1935); Szuchiewicz(1902-08); Kaindl(1894); ,56.26716667,
Ethnographic Atlas,Blackfoot,Ne12,xd1211,Blackfoot (Ne12),51.0,-112.0,51.0,-112.0,pieg1239,Piegan,,Algic,NORTHERN AMERICA,Western Canada,1850,4,Conical,,,Wissler(1910); Wissler(1912); Hanks and Richardson(1945); Ewers(1958); ,27.60166667,
Ethnographic Atlas,Mende,Af5,xd230,Mende (Af5),8.0,-11.0,8.0,-11.0,mend1266,Mende (Sierra Leone),men,Mande,AFRICA,West Tropical Africa,1930,4,Conical,,,Little(1970); McCulloch(1950); Bockani(1945); Crosby(1937); Staub(1936); Little(1947); Little(1948); Little(1951); Little(1954); ,230.2646667,
Ethnographic Atlas,Nsungli,Ae57,xd179,Nsungli (Ae57),6.0,11.0,6.0,11.0,limb1268,Limbum,lmp,Atlantic-Congo,AFRICA,West-Central Tropical Africa,1930,9,"Hipped or pyramidal, i.e., with four slopes",,,Kaberry(1952); Sieber and Sieber(1938); McCulloch et al.(1954); ,153.6045,
Ethnographic Atlas,Tongva,Nc29,xd1128,Gabrielo (Nc29),34.0,-118.0,34.0,-118.0,tong1329,Tongva,,Uto-Aztecan,NORTHERN AMERICA,Southwestern U.S.A.,1770,2,Dome shaped or hemispherical,,,Reid(1926); Johnson(1962); Harrington(1942); Kroeber(1925h); ,36.79116667,
Ethnographic Atlas,Meru,Ad35,xd104,Meru (Ad35),0.0,35.0,0.0,35.0,meru1245,Meru,mer,Atlantic-Congo,AFRICA,East Tropical Africa,1940,4,Conical,,"To be distinguished from the tribe of the same name on the southeast slope f Mt. Mero, who are a branch of the Chagga",Lambert(1956); Middleton(1953); Holding(1942); ,134.8895,
Ethnographic Atlas,Tao,Ia14,xd737,Yami (Ia14),22.05,121.55,22.0,122.0,yami1254,Yami,tao,Austronesian,ASIA-TEMPERATE,Eastern Asia,1930,8,"Gabled, i.e., with two slopes",,,Wei and Liu(1962); Mabushi(1960); Kane and Segawa(1956); ,184.0901667,"Note, estimate is from a point 100 km away (coordinates: 22.84,121.08); data were not available at society's reported location"
Ethnographic Atlas,Motu,Ie10,xd786,Motu (Ie10),-9.0,147.0,-9.0,147.0,motu1246,Motu,meu,Austronesian,ASIA-TROPICAL,Papuasia,1950,9,"Hipped or pyramidal, i.e., with four slopes",,with special reference to the Western Motu,Belshaw(1957); Groves(1963); Groves(1964); ,139.3988333,
Ethnographic Atlas,Malays,Ej8,xd730,Malays (Ej8),5.0,103.0,5.0,103.0,mala1479,Malay,zlm,Austronesian,ASIA-TROPICAL,Malesia,1940,8,"Gabled, i.e., with two slopes",,with special reference to those of Trengganu,Fraser(1966); Fraser(1960); Ginsburg and Roberts(1958); Lehmann(1934); Heberer and Lehman(1950); Firth(1943); Firth(1946); Wilkinson(1920); ,214.0358333,
Ethnographic Atlas,Kom,Ae54,xd176,Kom (Ae54),6.0,10.0,6.0,10.0,komc1235,Kom (Cameroon),bkm,Atlantic-Congo,AFRICA,West-Central Tropical Africa,1950,9,"Hipped or pyramidal, i.e., with four slopes",,,Kaberry(1952); Jeffreys(1951); McCulloch et al.(1954); ,179.131,
Ethnographic Atlas,Atayal,Ia1,xd732,Atayal (Ia1),24.0,121.0,24.0,121.0,atay1247,Atayal,tay,Austronesian,ASIA-TEMPERATE,Eastern Asia,1930,8,"Gabled, i.e., with two slopes",,Atayal Tribe (but exdluding Sedeq),Okada(1949); Ruey(nd); Mabuchi(1960); Ruey(1955); Ferrell(1969); ,171.469,
Ethnographic Atlas,Trarza,Cc19,xd497,Trarza (Cc19),18.0,-15.0,18.0,-15.0,hass1238,Hassaniyya,mey,Afro-Asiatic,AFRICA,West Tropical Africa,1950,9,"Hipped or pyramidal, i.e., with four slopes",,,Martv(1919); Dubie(1953); ,8.257833333,
Ethnographic Atlas,Yao,Ac7,xd73,Yao (Ac7),-13.0,36.0,-13.0,36.0,yaoo1241,Yao,yao,Atlantic-Congo,AFRICA,South Tropical Africa,1920,4,Conical,,,Stannus(1922); Mitchell(1956); Lawson(1949); Mitchell(1949); Sanderson(1920); ,85.85216667,
Ethnographic Atlas,Tekna,Cd9,xd527,Tekna (Cd9),28.0,-11.0,28.0,-11.0,hass1238,Hassaniyya,mey,Afro-Asiatic,AFRICA,Northern Africa,1900,7,Flat or horizontal,,,Justinard(1908); ,7.362,
Ethnographic Atlas,Mitsogho,Ac16,xd40,Shogo (Ac16),-1.0,12.0,-1.0,12.0,tsog1243,Tsogo,tsv,Atlantic-Congo,AFRICA,West-Central Tropical Africa,1940,8,"Gabled, i.e., with two slopes",,,Maclatchy(1945); Balandier(1952); ,143.9585,
Ethnographic Atlas,Vai,Af58,xd239,Vai (Af58),6.89,-11.2,7.0,-12.0,vaii1241,Vai,vai,Mande,AFRICA,West Tropical Africa,1900,4,Conical,,,Ronnefeldt(1935); Ellis(1914); McCulloch(1950); DelAfosse(1899); Thomas(1916); ,276.0433333,
Ethnographic Atlas,Kunta,Cc18,xd496,Kunta (Cc18),19.0,-1.0,19.0,-1.0,hass1238,Hassaniyya,mey,Afro-Asiatic,AFRICA,West Tropical Africa,1910,8,"Gabled, i.e., with two slopes",,,Salvy(1951); Tauxier(1912); ,5.186833333,
Ethnographic Atlas,Uncompahgre Ute,Nd62,xd1199,Uncompahgre (Nd62),39.0,-107.0,39.0,-107.0,utee1244,Ute,,Uto-Aztecan,NORTHERN AMERICA,Northwestern U.S.A.,1860,4,Conical,,,Lowie(1924); Stewart(1942); ,42.40683333,
Ethnographic Atlas,Nlaka'pamux,Nd10,xd1142,Thompson (Nd10),50.0,-122.0,50.0,-122.0,thom1243,Thompson,thp,Salishan,NORTHERN AMERICA,Western Canada,1860,9,"Hipped or pyramidal, i.e., with four slopes",,,Teit(1900); Ray(1942); ,89.48866667,
Ethnographic Atlas,Barabish,Cc7,xd504,Barabish (Cc7),20.0,-5.0,20.0,-5.0,hass1238,Hassaniyya,mey,Afro-Asiatic,AFRICA,West Tropical Africa,1950,1,Rounded or semi-cylindrical,,Timbuctoo,Miner(1953a); ,2.400333333,
Ethnographic Atlas,Patwin,Nc22,xd1121,Patwin (Nc22),39.0,-122.0,39.0,-122.0,patw1250,Patwin,pwi,Wintuan,NORTHERN AMERICA,Southwestern U.S.A.,1850,2,Dome shaped or hemispherical,,with special reference to the Hill Patwin,Gifford and Kroeber(1937a); McKern(1922); McKern(1924); Kroeber(1932); ,42.3325,
Ethnographic Atlas,Lake Miwok,Nc21,xd1120,Lake Miwok (Nc21),38.75,-123.2,38.0,-123.0,lake1258,Lake Miwok,lmw,Miwok-Costanoan,NORTHERN AMERICA,Southwestern U.S.A.,1860,2,Dome shaped or hemispherical,,,Gifford and Kroeber(1937a); Gifford(1922m); ,89.1375,
Ethnographic Atlas,Azande,Ai3,xd359,Azande (Ai3),5.0,27.0,5.0,27.0,zand1248,Zande,zne,Atlantic-Congo,AFRICA,West-Central Tropical Africa,1920,4,Conical,,,Evans-Pritchard(1937); Seligman and Seligman(1932); Larkin(1926-27); Evans-Pritchard(1956); Evans-Pritchard(1957); Evans-Pritchard(1963); Evans-Pritchard(1971a); Evans-Pritchard(1971b); Evans-Pritchard(1974); Reining(1966); Schweinfurth(1873); Legae(1926); Baxter and Butt(1953); De Schlippe(1956); Evans-Pritchard(1932b); ,121.8663333,
Ethnographic Atlas,Moba,Ag50,xd289,Moba (Ag50),11.0,1.0,11.0,1.0,moba1244,Moba,mfq,Atlantic-Congo,AFRICA,West Tropical Africa,1910,4,Conical,,,Froelich et al.(1963); Asmis(1912); ,76.15566667,
Ethnographic Atlas,Vanua Levu,Ih8,xd874,Vanua Levu (Ih8),-17.81,178.32,-17.0,179.0,nort2843,Northeast Vanua Levu,,Austronesian,PACIFIC,Southwestern Pacific,1940,9,"Hipped or pyramidal, i.e., with four slopes",,with special reference to the village of Nakaroka,Quain(1949); ,212.2401667,
Ethnographic Atlas,Meban,Ai45,xd376,Meban (Ai45),10.0,34.0,10.0,34.0,maba1273,Mabaan,mfz,Nilotic,AFRICA,Northeast Tropical Africa,1930,4,Conical,,,Seligman(1932); Evans-Pritchard(1932a); ,91.05316667,
Ethnographic Atlas,Yanzi,Ac26,xd51,Yanzi (Ac26),-4.0,18.0,-4.0,18.0,yans1239,Yansi,yns,Atlantic-Congo,AFRICA,West-Central Tropical Africa,1920,8,"Gabled, i.e., with two slopes",,,Torday and Joyce(1922b); Beaucorps(1933); ,134.9326667,
Ethnographic Atlas,Buryat,Eb6,xd614,Buryat (Eb6),52.0,107.0,52.0,107.0,russ1264,Russia Buriat,bxr,Mongolic,ASIA-TEMPERATE,Siberia,1900,4,Conical,,with special reference to those southeast of Lake Baikal,Krader(1954a); Krader(1954b); Krader(1957); Krader(1963); ,31.60716667,
Ethnographic Atlas,Labrador Inuit,Na23,xd1039,Labrador Eskimo (Na23),58.0,-65.0,58.0,-65.0,labr1244,Labrador Eskimo,,Eskimo-Aleut,NORTHERN AMERICA,Eastern Canada,1890,2,Dome shaped or hemispherical,,with special reference to the Koksoagmiu,Hawkes(1916); Turner(1894); ,54.89116667,
Ethnographic Atlas,Moru,Ai34,xd364,Moru (Ai34),5.0,30.0,5.0,30.0,moru1253,Moru,mgd,Central Sudanic,AFRICA,Northeast Tropical Africa,1880,4,Conical,,,Seligman and Seligman(1932); Nalder(1937); Felkin(1883); Baxter and Butt(1953); ,99.36966667,
Ethnographic Atlas,Li,Ed9,xd652,Li (Ed9),19.0,109.0,19.0,109.0,hlai1239,Hlai,lic,Tai-Kadai,ASIA-TEMPERATE,China,1930,1,Rounded or semi-cylindrical,,,Le Bar et al.(1964a); Odaka(1950); Strubel(1937); ,171.3571667,
Ethnographic Atlas,Widikum,Ae59,xd181,Eidekum (Ae59),6.0,10.0,6.0,10.0,meta1238,Meta',mgo,Atlantic-Congo,AFRICA,West-Central Tropical Africa,1950,4,Conical,,with special reference to the Ngie subtribe,Kaberry(1952); ,179.131,
Ethnographic Atlas,Cochiti,Nh7,xd1283,Cochiti (Nh7),36.0,-106.0,36.0,-106.0,coch1273,Cochiti,,Keresan,NORTHERN AMERICA,South-Central U.S.A.,1890,7,Flat or horizontal,,,Dumarest(1919); Parsons(1932b); Goldfrank(1927); ,30.81683333,
Ethnographic Atlas,Venda,Ab6,xd29,Venda (Ab6),-23.0,30.0,-23.0,30.0,vend1245,Venda,ven,Atlantic-Congo,AFRICA,Southern Africa,1900,4,Conical,,,Wessmann(1908); Gottschling(1905); Stayt(1931); Warmelo(1948); ,65.498,
Ethnographic Atlas,Nyasa,Ac39,xd65,Nyasa (Ac39),-13.0,35.0,-13.0,35.0,mand1423,Manda (Tanzania),mgs,Atlantic-Congo,AFRICA,South Tropical Africa,1920,4,Conical,,,Johnson(1922); Tew(1950); ,90.347,
Ethnographic Atlas,Lovedu,Ab14,xd15,Lovedu (Ab14),-24.0,31.0,-24.0,31.0,lobe1242,Lobedu,,Atlantic-Congo,AFRICA,Southern Africa,1930,4,Conical,,,Krige and Krige(1943); ,40.30683333,
Ethnographic Atlas,Mailu,Ie21,xd798,Mailu (Ie21),-10.0,149.0,-10.0,149.0,mail1248,Mailu,mgu,Mailuan,ASIA-TROPICAL,Papuasia,1900,8,"Gabled, i.e., with two slopes",,,Malinowski(1916); ,177.7441667,
Ethnographic Atlas,Nsaw,Ae56,xd178,Nsaw (Ae56),6.0,11.0,6.0,11.0,lamn1239,Lamnso',lns,Atlantic-Congo,AFRICA,West-Central Tropical Africa,1950,9,"Hipped or pyramidal, i.e., with four slopes",,,Kaberry(1952); McCulloch et al.(1954); ,153.6045,
Ethnographic Atlas,Mbugwe,Ad5,xd120,Mbugwe (Ad5),-4.0,36.0,-4.0,36.0,mbug1242,Mbugwe,mgz,Atlantic-Congo,AFRICA,East Tropical Africa,1940,7,Flat or horizontal,,,Gray(nd); ,58.74816667,
Ethnographic Atlas,Podokwo,Ah39,xd330,Podokwo (Ah39),11.0,14.0,11.0,14.0,park1239,Parkwa,pbi,Afro-Asiatic,AFRICA,West-Central Tropical Africa,1950,4,Conical,,,Lembezat(1952); Lembezat(1961); ,54.61716667,
Ethnographic Atlas,Madi,Ai33,xd363,Madi (Ai33),4.0,32.0,4.0,32.0,madi1260,Ma'di,mhi,Central Sudanic,AFRICA,Northeast Tropical Africa,1940,4,Conical,,,Middleton(1955); Baxter and Butt(1953); Czekanowski(1924a); ,85.20033333,
Ethnographic Atlas,Lebanese,Cj7,xd593,Lebanese (Cj7),34.0,36.0,34.0,36.0,nort3141,North-Central Lebanese Arabic,,Afro-Asiatic,ASIA-TEMPERATE,Western Asia,1950,7,Flat or horizontal,,with special reference to the village of Munsif,Davies(1949); Prothro(1961); Gulick(1953); Gulick(1955); Gulick(1956); Touma(1958); Patai(1956); Tannous(1949); ,55.54116667,
Ethnographic Atlas,Uttar Pradesh,Ef11,xd663,Uttar Pradesh (Ef11),26.0,83.0,26.0,83.0,bhoj1244,Bhojpuri,bho,Indo-European,ASIA-TROPICAL,Indian Subcontinent,1945,8,"Gabled, i.e., with two slopes",,Village and environs of Senapur,Rowe(1960); Opler and Singh(1952); Opler and Singh(1954); Pandey(1972); Dube(1956); Opler(1956); Cohn(1958); Cohn(nd); Luschinsky(1963); Luschinsky(1971); ,92.78383333,
Ethnographic Atlas,Moghol,Ea7,xd606,Moghol (Ea7),34.0,63.0,34.0,63.0,mogh1245,Mogholi,mhj,Mongolic,ASIA-TEMPERATE,Western Asia,1950,8,"Gabled, i.e., with two slopes",,,Schurmann(1962); ,21.83216667,
Ethnographic Atlas,Mangaians,Ij1,xd889,Mangaians (Ij1),-21.93,-157.91,-22.0,-158.0,raro1241,Rarotongan,rar,Austronesian,PACIFIC,South-Central Pacific,1820,8,"Gabled, i.e., with two slopes",,,Buck(1934); ,158.2095,
Ethnographic Atlas,Wukchumni,Nc25,xd1124,Wukchumni (Nc25),36.0,-119.0,36.0,-119.0,tule1245,Tule-Kaweah Yokuts,,Yokutsan,NORTHERN AMERICA,Southwestern U.S.A.,1860,4,Conical,,,Beals and Hester(1958); Cook(1955); Latta(1949); Gayton(1936); Gayton(1948a); Powers(1877); Kroeber(1925e); ,19.87433333,
Ethnographic Atlas,Bali Nyonga,Ae49,xd170,Bali (Ae49),6.0,10.0,6.0,10.0,mung1266,Mungaka,mhk,Atlantic-Congo,AFRICA,West-Central Tropical Africa,1900,9,"Hipped or pyramidal, i.e., with four slopes",,,Ankermann(1910); Corverrubias(1936); Hutter(1899); Kaberry(1952); ,179.131,
Ethnographic Atlas,Veps,ch27,xd565,Veps (ch27),61.0,35.0,61.0,35.0,veps1250,Veps,vep,Uralic,EUROPE,Eastern Europe,1900,8,"Gabled, i.e., with two slopes",,with special reference to the Petrozavodskij Uezd Veps,Kozlova(1982); Ushakov(1990); Makar'ev(1929); Makar'ev(1932); Tolstov(1964); Malinovskaja(1930); Ravdonikas(1926); Pimenov(1965); Etoeva(1977); Sedov(1987); Borisova(1924); Morev(1924); Semenov(1900a); ,47.215,
Ethnographic Atlas,Pokomo,Ad33,xd102,Pokomo (Ad33),-1.0,40.0,-1.0,40.0,poko1261,Pokomo,pkb,Atlantic-Congo,AFRICA,East Tropical Africa,1900,2,Dome shaped or hemispherical,,,Werner(1913); Fischer(1878-79); Kraft(1903); Prins(1952); ,32.06583333,
Ethnographic Atlas,Balinese,Ib3,xd752,Balinese (Ib3),-8.18,115.02,-8.0,115.0,bali1278,Balinese,ban,Austronesian,ASIA-TROPICAL,Malesia,1950,8,"Gabled, i.e., with two slopes",,Tihingan Village,Geertz and Geertz(1959); Geertz(1959a); Geertz(1959b); Covarrubias(1937); Geertz(1963); Geertz(1967); Grant(1964); Kahin(1963); Belo(1970); Mead and MacGregor(1951); Belo(1936); Franken et al.(1960); ,192.3895,
Ethnographic Atlas,Mandan,Ne6,xd1225,Mandan (Ne6),47.0,-101.0,47.0,-101.0,mand1446,Mandan,mhq,Siouan,NORTHERN AMERICA,North-Central U.S.A.,1830,2,Dome shaped or hemispherical,,,Will and Spinden(1906); Lowie(1917a); Bowers(1950); ,31.996,
Ethnographic Atlas,Tümpisa Shoshone (Saline and Panamint),Nd32,xd1166,Panamint (Nd32),36.0,-117.0,36.0,-117.0,pana1305,Panamint,par,Uto-Aztecan,NORTHERN AMERICA,Southwestern U.S.A.,1850,4,Conical,,with special reference to those of Saline Valley,Driver(1937); Steward(1938); ,17.88866667,
Ethnographic Atlas,Longuda,Ah30,xd321,Longuda (Ah30),10.0,12.0,10.0,12.0,long1389,Longuda,lnu,Atlantic-Congo,AFRICA,West Tropical Africa,1920,4,Conical,,,Meek(1931d); ,72.78,
Ethnographic Atlas,Mari,Ch4,xd568,Cheremis (Ch4),43.0,46.0,43.0,46.0,east2328,Eastern Mari,mhr,Uralic,ASIA-TEMPERATE,Caucasus,1900,8,"Gabled, i.e., with two slopes",,,Heffner(1955); Wichmann(1913); ,40.15866667,
Ethnographic Atlas,Nyankole,Ad45,xd115,Nyankole (Ad45),0.0,31.0,0.0,31.0,nyan1307,Nyankole,nyn,Atlantic-Congo,AFRICA,East Tropical Africa,1920,3,Beehive shaped with pointed peak,,,Taylor(1962); Roscoe(1923b); Oberg(1938); Oberg(1940); ,91.8985,
Ethnographic Atlas,Mi'kmaq,Na41,xd1058,Micmac (Na41),47.0,-65.0,47.0,-65.0,mikm1235,Mi'kmaq,mic,Algic,NORTHERN AMERICA,Eastern Canada,1700,4,Conical,,Mainland division,Speck and Dexter(1951); Bock(1966); Wallis and Wallis(1955); Denys(1908); Johnson(1943); Le Clercq(1910); ,76.88616667,
Ethnographic Atlas,Mossi (Ouagadougou),Ag47,xd285,Mossi Ouagadou (Ag47),12.0,-2.0,12.0,-2.0,moss1236,Mossi,mos,Atlantic-Congo,AFRICA,West Tropical Africa,1900,4,Conical,,with special reference to those of Ouagadougou (see Ag2 for those of Yatenga),Dim Delobosom(1933); Marc(1909); Skinner(1958); Skinner(1964); Tauxier(1912); Mangin(1921); ,68.43466667,
Ethnographic Atlas,Seminole,Ng2,xd1251,Seminole (Ng2),27.0,-81.0,27.0,-81.0,mika1239,Mikasuki,mik,Muskogean,NORTHERN AMERICA,Southeastern U.S.A.,1940,8,"Gabled, i.e., with two slopes",,with special reference to the Cow Creek band,Spoehr(1941); Spoehr(1942); Spoehr(1944); ,106.8588333,
Ethnographic Atlas,Nyaneka,Ab7,xd30,Nyaneka (Ab7),-15.0,14.0,-15.0,14.0,nyan1305,Nyaneka,nyk,Atlantic-Congo,AFRICA,South Tropical Africa,1920,4,Conical,,"Banianeka, Munyaneka, Ovanyaneka, Vanyaneka",Lang and Tastevin(1937); ,62.41983333,
Ethnographic Atlas,Kazan tatar,ch20,xd558,Kazan tatar (ch20),55.0,50.0,55.0,50.0,midd1325,Middle Tatar,,Turkic,EUROPE,Eastern Europe,1910,8,"Gabled, i.e., with two slopes",,with special reference to those of the Altayrskij Uezd,Kozlova(1982); Ramazanova(1991); Maksimov(1997a); Maksimov(1997b); Ishakov et al.(1998); Rittih(1870); Putsykovich(1900); Vorob'ev and Hisamutdinov(1967); Znamenskij(1910); Vorob'ev(1953); Pinegin(1891); Ahmarov(1907); Karlov(1990); Suharev(1904); Speranskij(1914); Kozlova(1964); ,40.46083333,
Ethnographic Atlas,Minangkabau,Ib6,xd755,Minangkabau (Ib6),-1.0,101.0,-1.0,101.0,mina1268,Minangkabau,min,Austronesian,ASIA-TROPICAL,Malesia,1920,8,"Gabled, i.e., with two slopes",,,Willinck(1915); Josselin de Jong(1952); Loeb(1934); Bachtiar(1967); ,289.022,
Ethnographic Atlas,Tura,Af53,xd234,Tura (Af53),8.0,-7.0,8.0,-7.0,tour1242,Toura (Côte d'Ivoire),neb,Mande,AFRICA,West Tropical Africa,1950,4,Conical,,,Holas(1962); ,126.5885,
Ethnographic Atlas,Miskito,Sa9,xd1325,Miskito (Sa9),13.0,-85.0,13.0,-85.0,misk1235,Mískito,miq,Misumalpan,SOUTHERN AMERICA,Central America,1920,8,"Gabled, i.e., with two slopes",,Vicinity: Cape Gracias a Dios,Helms(1969); Helms(1971); Conzemius(1932); Kirchoff(1948); Pijoan(1946); ,165.0665,
Ethnographic Atlas,Bari,Aj8,xd413,Bari (Aj8),5.0,32.0,5.0,32.0,ligo1238,Ligo,,Nilotic,AFRICA,Northeast Tropical Africa,1920,4,Conical,,,Huntingford(1953a); Owen(1908); Seligman and Seligman(1932); Beaton(1936); Seligman and Seligman(1928); ,73.05116667,
Ethnographic Atlas,Malinke,Ag9,xd297,Malinke (Ag9),11.0,-9.0,11.0,-9.0,west2500,Western Maninkakan,mlq,Mande,AFRICA,West Tropical Africa,1930,4,Conical,,,Labouret(1934); Sidibe(1932); ,114.9565,
Ethnographic Atlas,Lobi,Ag11,xd246,Lobi (Ag11),10.0,-4.0,10.0,-4.0,lobi1245,Lobi,lob,Atlantic-Congo,AFRICA,West Tropical Africa,1910,7,Flat or horizontal,,,Labouret(1931); Charles(1911); Haumant(1929); ,101.8618333,
Ethnographic Atlas,Reddi,Eg14,xd677,Reddi (Eg14),18.0,82.0,18.0,82.0,mukh1238,Mukha-Dora,mmk,Dravidian,ASIA-TROPICAL,Indian Subcontinent,1940,9,"Hipped or pyramidal, i.e., with four slopes",,with special reference to those of the Bison Hills,Fuerer-Haimendorf(1945); ,101.862,
Ethnographic Atlas,Habbaniya,Cb13,xd462,Habbania (Cb13),11.0,25.0,11.0,25.0,nort3133,North Kordofan Arabic,,Afro-Asiatic,AFRICA,Northeast Tropical Africa,1930,1,Rounded or semi-cylindrical,,,Lampen(1933); ,47.94866667,
Ethnographic Atlas,Mnong Gar,Ej2,xd724,Mnong Gar (Ej2),12.0,107.0,12.0,107.0,east2333,Eastern Mnong,mng,Austroasiatic,ASIA-TROPICAL,Indo-China,1940,8,"Gabled, i.e., with two slopes",,with special reference to the village of Sar Luk,Condominas(1957); Condominas(1960); ,146.161,
Ethnographic Atlas,Witoto,Se6,xd1370,Witoto (Se6),-1.0,-74.0,-1.0,-74.0,muru1274,Murui Huitoto,huu,Huitotoan,SOUTHERN AMERICA,Western South America,1910,8,"Gabled, i.e., with two slopes",,,Tessmann(1930); Murdock(1936b); Whitten(1915); ,256.821,
Ethnographic Atlas,Tunava (Deep Springs and Fish Lake),Nd29,xd1162,Tunava (Nd29),37.0,-118.0,37.0,-118.0,mono1275,Mono (USA),mnr,Uto-Aztecan,NORTHERN AMERICA,Southwestern U.S.A.,1870,2,Dome shaped or hemispherical,,including the Deep Springs Valley and Fish Lake Valley groups,Steward(1938); Steward(1941); ,25.02583333,
Ethnographic Atlas,Ha,Ae14,xd132,Ha (Ae14),-5.0,30.0,-5.0,30.0,haaa1252,Ha,haq,Atlantic-Congo,AFRICA,East Tropical Africa,1950,3,Beehive shaped with pointed peak,,,Hertefelt et al.(1962); ,88.57066667,
Ethnographic Atlas,Annamese,Ej4,xd726,Annamese (Ej4),17.0,107.0,17.0,107.0,viet1252,Vietnamese,vie,Austroasiatic,ASIA-TROPICAL,Indo-China,1950,8,"Gabled, i.e., with two slopes",,Red River Delta in Tonkin,Hickey(1964); Langrand(1945); Van Khoan(1930); Gourou(1936); Gourou(1954); Gourou(1955); Donoghue(1964); Linton(nd); Coughlin(1965); Coughlin(1950); Cadire(1953); ,149.481,
Ethnographic Atlas,Eastern Mono,Nd30,xd1164,Eastern Mono (Nd30),37.0,-118.0,37.0,-118.0,mono1275,Mono (USA),mnr,Uto-Aztecan,NORTHERN AMERICA,Southwestern U.S.A.,1870,8,"Gabled, i.e., with two slopes",,,Driver(1937); Steward(1933); ,25.02583333,
Ethnographic Atlas,Sonjo,Ad39,xd108,Sonjo (Ad39),-3.0,36.0,-3.0,36.0,temi1247,Temi,soz,Atlantic-Congo,AFRICA,East Tropical Africa,1950,4,Conical,,,Gray(1963); ,54.483,
Ethnographic Atlas,Udmurt,ch26,xd564,Udmurt (ch26),57.0,53.0,57.0,53.0,sout2681,South Udmurt,,Uralic,EUROPE,Eastern Europe,1890,8,"Gabled, i.e., with two slopes",,with special reference to those of the Sarapul'skij Uezd,Kozlova(1982); Haruzina(1898); Dolganova et al.(1995); Karlov(1990); Hristoljubova(1981); Shkljaev(1992); Petruhin and Helimskij(1982); Pimenov(1993); Simchenko(1990); Majer(1985); Vasil'ev(1902); Vladykin and Hristoljubova(1985); Maksimov(1997a); Maksimov(1997b); Ivanova(1999); Buch(1882); Vereshchagin(1889); Smimov(1890); Vereshchagin(1886); Tolstov(1964); Vladykin and Hristoljubova(1984); Fedjanovich(1997); Vladykin and Hristoljubova(1997); Vladykin and Hristoljubova(1998); Busygin and Zorin(1984); Rittih(1870); Kozlova(1964); ,44.4895,
Ethnographic Atlas,Mansi,ec15,xd623,Mansi (ec15),63.0,62.0,63.0,62.0,mans1258,Mansi,mns,Uralic,ASIA-TEMPERATE,Siberia,1880,8,"Gabled, i.e., with two slopes",,Middle Northern Sos'va group,Dunin-Gorkavich(1904); Nosilov(1904); Novikova(1994); Pevgova(1939); Sokolova(1974); Pavlovskij(1907); Sokolova(1991); Korikov(1898); Sokolova(1983); Rombandeeva and Kuzakova(2000); ,39.279,
Ethnographic Atlas,Logo,Ai31,xd361,Logo (Ai31),3.0,30.0,3.0,30.0,logo1259,Logo,log,Central Sudanic,AFRICA,West-Central Tropical Africa,1920,4,Conical,,,Baxter and Butt(1953); Czekanowski(1924a); ,116.1333333,
Ethnographic Atlas,Ifaluk,If4,xd835,Ifuluk (If4),7.25,144.46,7.0,147.0,nucl1479,Nuclear Woleaian,,Austronesian,PACIFIC,Northwestern Pacific,1940,8,"Gabled, i.e., with two slopes",,with special reference to the inhabitants of Ifaluk atoll,Burrows(1949); Damm(1938); Burrows and Spiro(1953); Spiro(1949); ,365.004,"Note, estimate is from a point 101 km away (coordinates: 7.36,143.55); data were not available at society's reported location"
Ethnographic Atlas,Rennell Islanders,Ii10,xd877,Rennell (Ii10),-11.74,160.42,-12.0,160.0,renn1242,Rennell-Bellona,mnv,Austronesian,ASIA-TROPICAL,Papuasia,1950,8,"Gabled, i.e., with two slopes",,,Birket-Smith(1956); ,251.0833333,"Note, estimate is from a point 45 km away (coordinates: -11.61,160.03); data were not available at society's reported location"
